IP地址,往返延迟 
104.16.96.114,164 ms 
104.17.184.229,166 ms 
104.17.54.205,166 ms 
104.19.140.226,168 ms 
104.18.109.170,170 ms 
190.93.247.134,171 ms 
104.19.165.62,172 ms 
104.18.71.246,174 ms 
104.16.99.190,176 ms 
104.19.187.40,176 ms 
104.19.65.159,178 ms 
104.18.146.133,179 ms 
104.19.142.148,181 ms 
104.19.37.187,181 ms 
104.18.235.124,184 ms 
104.19.219.211,184 ms 
104.19.92.194,186 ms 
172.65.230.230,188 ms 
104.18.255.81,194 ms 
172.67.128.102,197 ms 
198.41.200.189,198 ms 
104.19.86.215,199 ms 
172.67.189.73,200 ms 
198.41.208.54,200 ms 
172.67.199.110,205 ms 
172.67.142.148,207 ms 
172.67.186.120,214 ms 
104.19.201.0,220 ms 
